"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 26 14:59:46 CST 2022","Sat Feb 26 14:59:47 CST 2022","1090","test_dir","test_blog_login","Test_Login_Blog","","","test_blog_login_case2[args1]","
        名称：博客园登陆测试
        步骤：
        1、打开博客园页面
        2、点击登录
        3、打开登录页面
        4、输入用户名和密码
        5、点击登录
        检查点：
        * 检查是否错误用户名密码导致登录失败。
        "
"skipped","Sat Feb 26 14:59:40 CST 2022","Sat Feb 26 14:59:42 CST 2022","2055","test_dir","test_blog_home","Test_Home_Blog","","","test_blog_page_case2","
        名称：博客园首页页面测试
        步骤：
        1、打开博客园页面
        2、检查首页页面
        检查点：
        * 检查首页页面是否包含关键字。
        "
"passed","Sat Feb 26 15:00:13 CST 2022","Sat Feb 26 15:00:15 CST 2022","2026","test_dir","test_blog_search","Test_Search_Blog","","","test_blog_login_case2[args0]","
        名称：博客园搜索测试
        步骤：
        1、打开博客园搜索页面
        2、输入搜索文本
        5、点击搜索按钮
        检查点：
        * 检查是否进行搜索。
        "
"passed","Sat Feb 26 14:59:43 CST 2022","Sat Feb 26 14:59:46 CST 2022","3177","test_dir","test_blog_login","Test_Login_Blog","","","test_blog_login_case2[args0]","
        名称：博客园登陆测试
        步骤：
        1、打开博客园页面
        2、点击登录
        3、打开登录页面
        4、输入用户名和密码
        5、点击登录
        检查点：
        * 检查是否错误用户名密码导致登录失败。
        "
"passed","Sat Feb 26 14:59:43 CST 2022","Sat Feb 26 14:59:43 CST 2022","297","test_dir","test_blog_home","Test_Home_Blog","","","test_blog_page_case1","
        名称：博客园首页页面测试
        步骤：
        1、打开博客园页面
        2、检查首页页面
        检查点：
        * 检查首页页面是否包含关键字。
        "
"failed","Sat Feb 26 15:00:01 CST 2022","Sat Feb 26 15:00:13 CST 2022","11635","test_dir","test_blog_login","Test_Login_Blog","","","test_blog_login_case2[args2]","
        名称：博客园登陆测试
        步骤：
        1、打开博客园页面
        2、点击登录
        3、打开登录页面
        4、输入用户名和密码
        5、点击登录
        检查点：
        * 检查是否错误用户名密码导致登录失败。
        "
"passed","Sat Feb 26 15:00:15 CST 2022","Sat Feb 26 15:00:16 CST 2022","640","test_dir","test_blog_search","Test_Search_Blog","","","test_blog_login_case2[args1]","
        名称：博客园搜索测试
        步骤：
        1、打开博客园搜索页面
        2、输入搜索文本
        5、点击搜索按钮
        检查点：
        * 检查是否进行搜索。
        "
